Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Indonesia,2006,4.946978092,8.850008011,0.770950854,60.31999969,0.713171124,0.346718609,0.915120065,0.715400815,0.265537202,0.595440388
Indonesia,2007,5.101213932,8.898288727,0.703788102,60.54000092,0.603260338,0.310682416,0.959867001,0.695946157,0.241613194,0.524597168
Indonesia,2008,4.815309525,8.943452835,0.675075412,60.75999832,0.595633388,0.163405955,0.96821183,0.67530942,0.239270583,0.664624453
Indonesia,2009,5.472361088,8.975410461,0.779368043,60.97999954,0.783792853,0.189910948,0.910941303,0.767534971,0.192703858,0.811119676
Indonesia,2010,5.457299232,9.022411346,0.816021502,61.20000076,0.699657559,0.446611434,0.954049587,0.71695751,0.217907995,0.64145273
Indonesia,2011,5.172608376,9.068800926,0.82497704,61.41999817,0.878287196,0.436993897,0.962294877,0.747676671,0.273416042,0.739044189
Indonesia,2012,5.36777401,9.113837242,0.833621144,61.63999939,0.770319343,0.353094935,0.96158886,0.763571858,0.228979602,0.672580957
Indonesia,2013,5.292237759,9.154512405,0.793760836,61.86000061,0.780690789,0.374977708,0.972668588,0.777257264,0.249146357,0.683505118
Indonesia,2014,5.597375393,9.190257072,0.904827833,62.08000183,0.71941328,0.406894445,0.970144212,0.757046998,0.241678208,0.653533399
Indonesia,2015,5.04279995,9.225190163,0.809478104,62.29999924,0.779418349,0.47023648,0.945967257,0.796219051,0.274292201,0.645185173
Indonesia,2016,5.136325359,9.262088776,0.791830599,62.42499924,0.82994163,0.498652279,0.889677405,0.747754455,0.341573596,0.80088073
Indonesia,2017,5.098401546,9.299781799,0.795589209,62.54999924,0.865026295,0.486710787,0.900416434,0.781277835,0.319171578,0.825765371
Indonesia,2018,5.340295792,9.338885307,0.809378862,62.67499924,0.879374385,0.510791004,0.867729425,0.7960307,0.295986801,0.837602735
Indonesia,2019,5.346512794,9.376869202,0.80191803,62.79999924,0.865859151,0.55411315,0.860784769,0.800203919,0.301702797,0.782263815
Indonesia,2020,4.828147411,9.345304489,0.750896156,62.92499924,0.85332638,0.53391695,0.913812995,0.742214978,0.351377964,0.773202956
Indonesia,2021,5.43317318,9.367486954,0.816924691,63.04999924,0.884855866,0.545828223,0.845080256,0.798546731,0.27275306,0.840339124
